 0.00000000000000E+0000 -1.60357728600502E-0001
 3.18015064112842E-0003  9.34721231460571E-0002
 6.36030128225684E-0003  3.47301959991455E-0001
 9.54045169055462E-0003  7.21704304218292E-0001
 1.27206025645136E-0002  1.18808209896088E+0000
 1.59007534384727E-0002  1.71798980236053E+0000
 1.90809033811092E-0002  2.29183435440063E+0000
 2.22610533237457E-0002  2.89245200157166E+0000
 2.54412051290274E-0002  3.50374126434326E+0000
 2.86213550716639E-0002  4.11449956893921E+0000
 3.18015068769455E-0002  4.71614694595337E+0000
 3.49816568195820E-0002  5.29873752593994E+0000
 3.81618067622185E-0002  5.85852766036987E+0000
 4.13419567048550E-0002  6.39149951934814E+0000
 4.45221066474915E-0002  6.89518213272095E+0000
 4.77022603154182E-0002  7.35926437377930E+0000
 5.08824102580547E-0002  7.79554176330566E+0000
 5.40625602006912E-0002  8.18993663787842E+0000
 5.72427101433277E-0002  8.55469226837158E+0000
 6.04228600859642E-0002  8.88002204895020E+0000
 6.36030137538910E-0002  9.16890048980713E+0000
 6.67831599712372E-0002  9.42507362365723E+0000
 6.99633136391640E-0002  9.64841938018799E+0000
 7.31434673070908E-0002  9.83977127075195E+0000
 7.63236135244370E-0002  1.00003232955932E+0001
 7.95037671923637E-0002  1.01315813064575E+0001
 8.26839134097099E-0002  1.02352600097656E+0001
 8.58640670776367E-0002  1.03130455017089E+0001
 8.90442132949829E-0002  1.03670063018798E+0001
 9.22243669629097E-0002  1.03983697891235E+0001
 9.54045206308365E-0002  1.04070682525634E+0001
 9.85846668481827E-0002  1.03951501846313E+0001
 1.01764820516109E-0001  1.03660192489624E+0001
 1.04944966733455E-0001  1.03205499649047E+0001
 1.08125120401382E-0001  1.02585582733154E+0001
 1.11305274069309E-0001  1.01825132369995E+0001
 1.14485420286655E-0001  1.00936155319213E+0001
 1.17665573954582E-0001  9.99280929565430E+0000
 1.20845720171928E-0001  9.88182353973389E+0000
 1.24025873839855E-0001  9.76119327545166E+0000
 1.27206027507782E-0001  9.63128376007080E+0000
 1.30386173725128E-0001  9.49380683898926E+0000
 1.33566319942474E-0001  9.35002326965332E+0000
 1.36746481060982E-0001  9.20042896270752E+0000
 1.39926627278328E-0001  9.04567813873291E+0000
 1.43106773495674E-0001  8.88653564453125E+0000
 1.46286934614182E-0001  8.72369098663330E+0000
 1.49467080831528E-0001  8.55777168273926E+0000
 1.52647227048874E-0001  8.38938140869141E+0000
 1.55827373266220E-0001  8.21908473968506E+0000
 1.59007534384727E-0001  8.04739379882813E+0000
 1.62187680602074E-0001  7.87478160858154E+0000
 1.65367826819420E-0001  7.70167684555054E+0000
 1.68547987937927E-0001  7.52847290039063E+0000
 1.71728134155273E-0001  7.35551738739014E+0000
 1.74908280372620E-0001  7.18311786651611E+0000
 1.78088426589966E-0001  7.01158285140991E+0000
 1.81268587708473E-0001  6.84122991561890E+0000
 1.84448733925819E-0001  6.67233705520630E+0000
 1.87628880143166E-0001  6.50508499145508E+0000
 1.90809041261673E-0001  6.33961963653564E+0000
 1.93989187479019E-0001  6.17610788345337E+0000
 1.97169333696365E-0001  6.01473379135132E+0000
 2.00349494814873E-0001  5.85566186904907E+0000
 2.03529641032219E-0001  5.69903564453125E+0000
 2.06709787249565E-0001  5.54497718811035E+0000
 2.09889933466911E-0001  5.39358186721802E+0000
 2.13070094585419E-0001  5.24489688873291E+0000
 2.16250240802765E-0001  5.09896039962769E+0000
 2.19430387020111E-0001  4.95581531524658E+0000
 2.22610548138618E-0001  4.81551933288574E+0000
 2.25790694355965E-0001  4.67811870574951E+0000
 2.28970840573311E-0001  4.54363441467285E+0000
 2.32150986790657E-0001  4.41206121444702E+0000
 2.35331147909164E-0001  4.28338718414307E+0000
 2.38511294126511E-0001  4.15762042999268E+0000
 2.41691440343857E-0001  4.03479957580566E+0000
 2.44871601462364E-0001  3.91495347023010E+0000
 2.48051747679710E-0001  3.79808068275452E+0000
 2.51231908798218E-0001  3.68412017822266E+0000
 2.54412055015564E-0001  3.57300233840942E+0000
 2.57592201232910E-0001  3.46466588973999E+0000
 2.60772347450256E-0001  3.35908961296082E+0000
 2.63952493667603E-0001  3.25626659393311E+0000
 2.67132639884949E-0001  3.15618252754211E+0000
 2.70312786102295E-0001  3.05880475044250E+0000
 2.73492962121964E-0001  2.96407175064087E+0000
 2.76673108339310E-0001  2.87192153930664E+0000
 2.79853254556656E-0001  2.78229403495789E+0000
 2.83033400774002E-0001  2.69514465332031E+0000
 2.86213546991348E-0001  2.61043643951416E+0000
 2.89393693208694E-0001  2.52813100814819E+0000
 2.92573869228363E-0001  2.44818663597107E+0000
 2.95754015445709E-0001  2.37055444717407E+0000
 2.98934161663055E-0001  2.29518365859985E+0000
 3.02114307880402E-0001  2.22202253341675E+0000
 3.05294454097748E-0001  2.15101957321167E+0000
 3.08474600315094E-0001  2.08212161064148E+0000
 3.11654746532440E-0001  2.01527523994446E+0000
 3.14834922552109E-0001  1.95042765140533E+0000
 3.18015068769455E-0001  1.88752746582031E+0000
 3.21195214986801E-0001  1.82652413845062E+0000
 3.24375361204147E-0001  1.76736855506897E+0000
 3.27555507421494E-0001  1.71001207828522E+0000
 3.30735653638840E-0001  1.65440690517426E+0000
 3.33915799856186E-0001  1.60050809383392E+0000
 3.37095975875854E-0001  1.54827284812927E+0000
 3.40276122093201E-0001  1.49765884876251E+0000
 3.43456268310547E-0001  1.44862437248230E+0000
 3.46636414527893E-0001  1.40112745761871E+0000
 3.49816560745239E-0001  1.35512530803680E+0000
